所在地,緯度,経度
神奈川県横浜市泉区下飯田町5-5,35.3886458,139.4838111
神奈川県横浜市鶴見区三ツ池公園1-1,35.5215391,139.6628181
神奈川県横浜市保土ケ谷区花見台4-2,35.4558499,139.5857763
神奈川県横浜市緑区寺山町291,35.5056991,139.5366509
神奈川県川崎市宮前区神木本町2-10-1,35.601628,139.5874086
神奈川県相模原市緑区与瀬317-1,35.6129625,139.1905191
神奈川県相模原市南区下溝3277,35.5313517,139.3855661
神奈川県相模原市緑区根小屋162,35.5819666,139.2819312
神奈川県横須賀市西逸見町3-55-1,35.2797704,139.6432963
神奈川県横須賀市鴨居4-1262,35.2563127,139.7408335
神奈川県藤沢市鵠沼海岸1-17-3,35.3144111,139.4722551
神奈川県藤沢市辻堂西海岸3-2,35.3240735,139.4471168
神奈川県小田原市久野3821-1,35.2811648,139.1322926
神奈川県茅ヶ崎市汐見台3-15,35.3222083,139.4389715
神奈川県茅ヶ崎市芹沢1030,35.3731823,139.4185266
神奈川県三浦市三崎町城ヶ島,35.135016,139.6163179
神奈川県秦野市掘山下1513,35.4049152,139.1694764
神奈川県厚木市七沢901-1,35.4472418,139.3005822
神奈川県伊勢原市三ノ宮1804-1,35.3974039,139.2743609
神奈川県海老名市上郷2-1-1,35.457947,139.3811956
神奈川県座間市入谷東1-6-1,35.4871661,139.4032148
神奈川県三浦郡葉山町下山口1443-4,35.2720328,139.5861763
神奈川県三浦郡葉山町一色･堀内,35.2719293,139.5763839
神奈川県中郡大磯町国府本郷551-1,35.3044331,139.2905993
神奈川県足柄下郡箱根町元箱根171,35.1974144,139.0258045
神奈川県愛甲郡愛川町半原5423,35.5409414,139.2570187
神奈川県足柄上郡山北町川西､都夫良野,35.3772785,139.0160763
神奈川県横浜市旭区鶴ケ峰2-21-12,35.4750304,139.5478697
神奈川県横浜市港南区上大岡西3-14,35.4030254,139.5968478
神奈川県横浜市中区本牧和田31-13,35.4229014,139.658093
神奈川県横浜市鶴見区東寺尾中台34,35.5071855,139.6664147
神奈川県横浜市中区山下町168-3,35.4412476,139.644727
神奈川県横浜市鶴見区市場西中町1480-1,35.517435,139.6844373
神奈川県横浜市戸塚区影取町47-21,35.3609199,139.4953051
神奈川県横浜市青葉区藤が丘2-9-3,35.5426914,139.5257528
神奈川県横浜市泉区下和泉5-13,35.3988561,139.4891142
神奈川県横浜市西区浅間町3-204-9,35.4627066,139.6076552
神奈川県横浜市戸塚区名瀬町764-18,35.4271583,139.5432274
神奈川県横浜市保土ケ谷区境木町15-38,35.4425829,139.5663215
神奈川県横浜市南区永田北1-214-2,35.440557,139.5910344
神奈川県横浜市戸塚区名瀬町767-1,35.4282071,139.5427937
神奈川県横浜市瀬谷区瀬谷2-1-3,35.4700387,139.4866645
神奈川県横浜市鶴見区本町通3-152-11,35.5019662,139.6840585
神奈川県横浜市瀬谷区三ツ境155-6,35.4609268,139.497243
神奈川県横浜市旭区川島町2921-40,35.4821558,139.5595111
神奈川県横浜市港北区岸根町700-24,35.4951677,139.6110852
神奈川県横浜市青葉区桂台2-38-20,35.5537505,139.4981061
神奈川県横浜市鶴見区上の宮2-13,35.5152554,139.6393113
神奈川県横浜市旭区二俣川1-55-21,35.4643646,139.525665
神奈川県横浜市都筑区すみれが丘10-13,35.5682027,139.5765701
神奈川県横浜市都筑区川和町2595-17,35.5368372,139.5465495
神奈川県横浜市青葉区荏田北2-11-47,35.5557427,139.5424423
神奈川県横浜市瀬谷区東野95-14,35.4769459,139.4952569
神奈川県横浜市港北区大豆戸町985-2,35.5176636,139.6267072
神奈川県横浜市港南区笹下7-27,35.3900619,139.5908751
神奈川県横浜市青葉区美しが丘4-17-64,35.5797413,139.5495318
神奈川県横浜市旭区今宿町2679-29,35.471514,139.5127647
神奈川県横浜市泉区新橋町628-14,35.429905,139.5124744
神奈川県横浜市緑区東本郷3-26,35.5044176,139.5775781
神奈川県横浜市保土ケ谷区岩崎町30,35.4480971,139.5851419
神奈川県横浜市磯子区田中1-1,35.3866255,139.6080782
神奈川県横浜市神奈川区高島台24-5,35.4724782,139.6204605
神奈川県横浜市青葉区奈良町1566-381,35.561688,139.4793317
神奈川県横浜市泉区中田北2-23,35.4161655,139.5053332
神奈川県横浜市青葉区さつきが丘11-8,35.5335961,139.5216789
神奈川県横浜市港北区新吉田町5587-4,35.5357905,139.6062732
神奈川県横浜市保土ケ谷区峰岡町3-360-3,35.4652042,139.5921601
神奈川県横浜市磯子区岡村8-11,35.409528,139.6099899
